Circuit;Number;X; Y;Method of determination;Measurement error;Pinning Description
;;;;;;
[1];1;225209,6;225239,51;;2,5;Закрепление отсутствует
[1];2;225217,62;225243,42;;2,5;Закрепление отсутствует
[1];3;225194,68;225251,14;;2,5;Закрепление отсутствует
[1];4;225122,25;225294,1;;2,5;Закрепление отсутствует
[1];5;224995;225366,48;;2,5;Закрепление отсутствует
[1];6;224902,72;225417,74;;2,5;Закрепление отсутствует
[1];7;224877,99;225408,9;;2,5;Закрепление отсутствует
[1];8;224850,65;225422,59;;2,5;Закрепление отсутствует
[1];9;224815,27;225442,34;;2,5;Закрепление отсутствует
[1];10;224754,89;225477,72;;2,5;Закрепление отсутствует
[1];11;224667,63;225528,69;;2,5;Закрепление отсутствует
[1];12;224606,97;225567,88;;2,5;Закрепление отсутствует
[1];13;224478,75;225642,47;;2,5;Закрепление отсутствует
[1];14;224373,44;225705,4;;2,5;Закрепление отсутствует
[1];15;224331,5;225724;;2,5;Закрепление отсутствует
[1];16;224371,46;225701,93;;2,5;Закрепление отсутствует
[1];17;224476,08;225637,27;;2,5;Закрепление отсутствует
[1];18;224604,91;225564,45;;2,5;Закрепление отсутствует
[1];19;224664,67;225524,22;;2,5;Закрепление отсутствует
[1];20;224752,28;225473,62;;2,5;Закрепление отсутствует
[1];21;224812,67;225437,37;;2,5;Закрепление отсутствует
[1];22;224848,5;225417,56;;2,5;Закрепление отсутствует
[1];23;224875,99;225403,94;;2,5;Закрепление отсутствует
[1];24;224891,55;225408,69;;2,5;Закрепление отсутствует
[1];25;224902,36;225413,36;;2,5;Закрепление отсутствует
[1];26;224993,04;225362,99;;2,5;Закрепление отсутствует
[1];27;225120,24;225290,64;;2,5;Закрепление отсутствует
[1];28;225192,79;225247,61;;2,5;Закрепление отсутствует
[1];1;225209,6;225239,51;;2,5;Закрепление отсутствует
